jd_id,jd_title,jd_seniority,jd_required_skills,jd_preferred_skills,jd_experience_requirement,jd_education_requirement,jd_responsibilities,candidate_blind_id,candidate_skills,candidate_education,candidate_experience,candidate_employment_history,candidate_projects,employment_relevance,employment_evidence_note,project_relevance,project_evidence_note
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-7dac0883,python; linux; docker; aws,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),Title: Linux Hardening Tutorial | Technologies: linux | Role: (role not stated) | Description: Followed an online tutorial to apply basic Linux hardening steps to a personal server. | Outcome: (no stated outcome),0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Followed an online tutorial to apply basic hardening to a personal server; relevant subject matter but no independent analysis, no role stated and no outcome."
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-30c37ab4,aws; terraform; kubernetes; docker,BSc (Statistics),"40 months total, seniority level 4","[Cloud Infrastructure Engineer, 40 months] Owned the Terraform modules for the team's AWS estate. / Redesigned the Kubernetes namespace structure, cutting cross-team resource contention incidents to zero. / Debugged an intermittent networking issue between pods that had been open for months, tracing it to a misconfigured CNI plugin. / Led the migration of legacy services into Docker containers.",(no projects listed),3,"40 months in the exact role: owned the Terraform modules for the team's AWS estate, redesigned the Kubernetes namespace structure to eliminate contention incidents, traced a long-open intermittent pod networking fault to a misconfigured CNI plugin, and led the migration of legacy services into Docker. All four required skills evidenced with ownership.",0,"No projects listed, so there is no project evidence to assess."
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-3dafa86d,python; linux; docker; aws,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: Network Traffic Classifier | Technologies: go | Role: solo | Description: Designed and built a tool in Go that captures and classifies network traffic patterns for anomaly detection, including the packet-parsing logic. Debugged a misclassification issue caused by fragmented packets. | Outcome: Correctly classified 92% of traffic in a labelled test capture.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Real security engineering with clear ownership - self-written packet-parsing and classification logic, a misclassification issue from fragmented packets debugged, 92% accuracy on a labelled capture - but written in Go. None of Python, Linux, Docker or AWS is evidenced, so the required stack is untested."
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-7b1cc0df,aws; terraform; kubernetes; docker,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: Personal Cloud Lab | Technologies: aws, terraform, kubernetes, docker | Role: solo | Description: Designed and provisioned a small multi-service AWS environment using Terraform, including a Kubernetes cluster. Debugged an IAM permissions issue that was blocking pod-level access to S3, and fixed it with a scoped policy. Deployed a sample app to the cluster in Docker containers and documented the teardown process to avoid runaway cost. | Outcome: Kept the whole environment running under $15 in AWS credits across a 3-week build.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",3,"Provisions a multi-service AWS environment with Terraform including a Kubernetes cluster and deploys a containerised sample app - all four required skills and all three responsibilities. A diagnosed IAM permissions issue blocking pod-level S3 access, fixed with a scoped policy, plus documented teardown and a stated cost outcome, give it credible ownership despite hobby scale."
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-6b0449f8,python; pytorch; fastapi; docker,BSc (Computer Science),"44 months total, seniority level 4","[ML Engineer, 44 months] Owned the training and evaluation pipeline for the ranking model. / Cut inference cost by 35% by quantising the production model. / Debugged a production drift issue that had silently degraded recommendation quality for two weeks. / Deployed the serving stack via Docker and set up automated rollback on error-rate regression.",(no projects listed),3,"44 months in the exact role, owning the training and evaluation pipeline for the ranking model, quantising the production model for a 35% inference-cost cut, debugging a silent production drift issue, and deploying the serving stack via Docker with automated rollback. Direct match on all three JD responsibilities.",0,"No projects listed, so there is no project evidence to assess."
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-9137df45,kotlin; android; gradle; git,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Cross-Platform Grocery List App | Technologies: flutter, dart | Role: solo | Description: Designed and built a grocery-list app in Flutter with local persistence, including the state management. Debugged a sync bug that duplicated items when the app resumed offline-then-online. | Outcome: App used daily by 3 friends during a 2-month trial with no reported data loss after the fix.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Well-evidenced mobile work: self-designed state management, an offline-then-online sync bug duplicating items diagnosed and fixed, and two months of real daily use by testers. But it is entirely Flutter/Dart - no Kotlin, no native Android, no Gradle, so none of the required skills are demonstrated."
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-32d1bed7,kotlin; android; gradle; git,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Kotlin Weather App | Technologies: kotlin, android | Role: (role not stated) | Description: Personal Android project. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Correct stack (Kotlin, Android) but a one-line 'personal Android project' with no role, no detail and no outcome."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-a2e40941,python; sql; airflow; spark,BSc (Information Systems),"7 months total, seniority level 1","[Data Engineering Intern, 8 months] Wrote SQL transformations for a new reporting table, reviewed and merged into production. / Fixed a failing Airflow task caused by a schema change in an upstream source. / Added a data-quality check that caught a duplicate-row bug before it reached the dashboard.",(no projects listed),2,"Genuine pipeline work: SQL transformations reviewed and merged into production, a failing Airflow task fixed after an upstream schema change, and a data-quality check that caught a duplicate-row bug pre-dashboard. Maps to three of the JD's responsibilities, but only 8 months and no Spark evidence.",0,"No projects listed, so there is no project evidence to assess."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-c03b258d,python; sql; airflow; spark,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Spark Data Pipeline | Technologies: spark, sql | Role: (role not stated) | Description: Coursework project. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Relevant tools (Spark, SQL) but a bare coursework entry with no role, no description of what was built and no outcome."
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-69ea089c,kotlin; android; gradle; git,BSc (Software Engineering),"7 months total, seniority level 1","[Android Intern, 8 months] Implemented a settings screen in Kotlin, reviewed and merged into the app. / Fixed a Gradle dependency conflict that was breaking the debug build. / Wrote instrumented tests for a login-flow screen.",(no projects listed),2,"Hands-on: implemented a Kotlin settings screen that was reviewed and merged, fixed a Gradle dependency conflict breaking the debug build, and wrote instrumented tests for the login flow. Matches the Kotlin, Gradle and defect-fixing duties, but at 8 months and feature-level scope.",0,"No projects listed, so there is no project evidence to assess."
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-5ed012d0,typescript; react; css; next.js,BSc (Physics),"11 months total, seniority level 2","[Content Assistant, 11 months] Updated marketing copy through the CMS. / Forwarded bug reports from users to the frontend team. / Maintained the style guide document.","Title: Accessibility Audit Tool | Technologies: typescript, react, css, next.js | Role: solo | Description: Built a tool in React and TypeScript that scans a page's DOM and flags accessibility issues, styled with CSS and deployed via Next.js. Designed the detection rules myself and debugged a false-positive issue with contrast checks on gradient backgrounds. | Outcome: Correctly flagged 9 of 10 seeded accessibility issues in a grading test set.",1,"Works alongside the frontend team but on CMS copy updates, forwarding user bug reports and maintaining a style-guide document. No component development and no TypeScript, React, CSS authoring or Next.js work.",3,"Uses TypeScript, React, CSS and Next.js together on a real tool that scans the DOM for accessibility issues. Self-designed detection rules, a debugged contrast false positive on gradient backgrounds, and a measured 9-of-10 detection result on a seeded test set."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-f9a88c17,python; opencv; pytorch; linux,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 8 months] Attended the perception team's model-review meetings. / Labelled a batch of training images as part of a data-collection effort. / Organised the annotation-tooling documentation.",(no projects listed),1,"Meeting attendance, one batch of image labelling, and organising annotation-tooling documentation. No hands-on vision engineering.",0,"No projects listed, so there is no project evidence to assess."
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-9907e773,python; fastapi; postgresql; docker,BSc (Information Systems),"7 months total, seniority level 1","[Software Engineering Intern, 7 months] Implemented a validation layer for incoming transaction requests using FastAPI. / Wrote PostgreSQL migration scripts for a new refund-tracking table, reviewed and merged by the team. / Fixed a bug where concurrent refund requests could double-credit an account, verified with a regression test.",(no projects listed),2,"Hands-on payments backend work: built a FastAPI validation layer for incoming transaction requests, wrote PostgreSQL migrations for refund tracking that were reviewed and merged, and fixed a concurrency bug that double-credited accounts. Real ownership on FastAPI and PostgreSQL, but 7 months against a 24-month requirement and no Docker evidence.",0,"No projects listed, so there is no project evidence to assess."
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-5c568d25,aws; terraform; kubernetes; docker,BSc (Mathematics),"12 months total, seniority level 2","[IT Support Assistant, 12 months] Reset AWS console passwords for staff. / Maintained the asset inventory spreadsheet. / Escalated infrastructure tickets to the platform team.","Title: Personal Cloud Lab | Technologies: aws, terraform, kubernetes, docker | Role: solo | Description: Designed and provisioned a small multi-service AWS environment using Terraform, including a Kubernetes cluster. Debugged an IAM permissions issue that was blocking pod-level access to S3, and fixed it with a scoped policy. Deployed a sample app to the cluster in Docker containers and documented the teardown process to avoid runaway cost. | Outcome: Kept the whole environment running under $15 in AWS credits across a 3-week build.",1,"Touches AWS only through resetting staff console passwords; the remaining duties (asset inventory spreadsheet, escalating tickets to the platform team) are IT support. No provisioning, Terraform, Kubernetes or Docker work.",3,"Provisions a multi-service AWS environment with Terraform including a Kubernetes cluster and deploys a containerised sample app - all four required skills and all three responsibilities. A diagnosed IAM permissions issue blocking pod-level S3 access, fixed with a scoped policy, plus documented teardown and a stated cost outcome, give it credible ownership despite hobby scale."
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-f8c512e0,python; fastapi; postgresql; docker,BSc (Software Engineering),"12 months total, seniority level 2","[Junior Support Engineer, 12 months] Logged customer-reported payment issues into the tracking system. / Coordinated with the backend team on ticket triage. / Updated the FAQ documentation for common payment errors.","Title: Ledger Consistency Checker | Technologies: python, fastapi, postgresql, docker | Role: solo | Description: Built a tool that scans a PostgreSQL ledger for consistency violations and flags them via a FastAPI report endpoint. Designed the detection rules myself and debugged several false-positive cases caused by timezone handling. Containerised it with Docker for a course demo. | Outcome: Caught 3 real seeded consistency bugs in the test dataset during grading.",1,"Payments-domain exposure via issue logging, triage coordination and FAQ upkeep, but the work is customer support rather than engineering. None of the four required skills are exercised and none of the JD responsibilities are performed.",3,"Uses all four required skills on a payments problem: scans a PostgreSQL ledger for consistency violations, reports via FastAPI, containerised with Docker. Self-designed detection rules and a debugged class of timezone false positives show real ownership, and the outcome is measured (3 seeded bugs caught). Course-demo scale is the only limitation."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-d8497fb9,python; opencv; pytorch; linux,BSc (Mathematics),"11 months total, seniority level 2","[Data Labelling Assistant, 11 months] Labelled training images for the perception team. / Operated the camera rig during data-collection sessions. / Organised the labelled-dataset file structure.","Title: Detection Accuracy Monitor | Technologies: python, opencv, pytorch, linux | Role: solo | Description: Built a tool using OpenCV and PyTorch that tracks a deployed model's detection accuracy over time and flags regressions, running on Linux. Designed the statistical monitoring logic myself and debugged a false-positive issue caused by a seasonal lighting change. | Outcome: Correctly flagged 2 of 2 seeded accuracy regressions in a grading scenario.",1,"Supports the perception team through image labelling, camera-rig operation and dataset file organisation. Domain-adjacent data work with no pipeline building, OpenCV/PyTorch use or Linux deployment.",3,"OpenCV and PyTorch tooling running on Linux that tracks a deployed model's detection accuracy and flags regressions - sitting directly on the JD's detection-accuracy evaluation duty. Self-designed monitoring statistics, a debugged false positive caused by seasonal lighting change, and a 2-of-2 seeded-regression result."
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-ab4f33f4,python; pytorch; fastapi; docker,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: PyTorch Tutorial Classifier | Technologies: python, pytorch | Role: (role not stated) | Description: Followed the official PyTorch tutorial to train an image classifier on a sample dataset. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Official PyTorch tutorial followed to train an image classifier; correct framework, but no independent design, debugging or outcome."
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-59306621,python; pytorch; fastapi; docker,BSc (Computer Science),"10 months total, seniority level 2","[Junior Data Assistant, 10 months] Labelled training images as part of a data-collection effort. / Forwarded model-monitoring alerts to the on-call engineer. / Updated the model documentation wiki.","Title: Image Tagging Service | Technologies: python, pytorch, fastapi, docker | Role: solo | Description: Trained a PyTorch classifier on a public image dataset and served it behind a FastAPI endpoint. Designed the inference batching logic myself and debugged a memory leak caused by not releasing GPU tensors between requests. Packaged the service with Docker and benchmarked latency under load. | Outcome: Reduced average inference latency from 800ms to 140ms after fixing the batching.",1,"Supports an ML team through image labelling, alert forwarding and wiki upkeep, but performs none of the JD's engineering tasks. No PyTorch training, FastAPI serving or Docker packaging.",3,"Full match on all four required skills and all three responsibilities: PyTorch classifier trained on a public dataset, served behind FastAPI, packaged with Docker. Self-designed inference batching, a diagnosed GPU-tensor memory leak, and a measured latency improvement from 800ms to 140ms."
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-51899643,aws; terraform; kubernetes; docker,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Terraform Getting Started | Technologies: aws, terraform | Role: (role not stated) | Description: Followed a Terraform tutorial to provision a single AWS EC2 instance. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Tutorial provisioning a single EC2 instance; right tools, but no independent design, debugging or outcome."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-eeb59fd4,python; opencv; pytorch; linux,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Defect Detection Prototype | Technologies: python, opencv, pytorch, linux | Role: solo | Description: Trained a PyTorch model using OpenCV preprocessing to detect surface defects in a public manufacturing image dataset. Designed the preprocessing pipeline myself and debugged a lighting-normalization bug that was hurting accuracy on darker images. Deployed the inference pipeline on a Linux machine and benchmarked its throughput. | Outcome: Improved detection F1 from 0.61 to 0.84 after fixing the normalization bug.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",3,"Exercises all four required skills and all three responsibilities: PyTorch model trained with OpenCV preprocessing, inference deployed and throughput-benchmarked on Linux. Self-designed preprocessing pipeline and a diagnosed lighting-normalisation bug hurting accuracy on darker images, with a measured F1 improvement from 0.61 to 0.84."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-79aa7cb9,python; sql; airflow; spark,BSc (Information Systems),"11 months total, seniority level 2","[Reporting Assistant, 11 months] Exported spreadsheets for the finance team each week. / Forwarded pipeline failure alerts to the on-call engineer. / Updated the reporting calendar.","Title: Sales Pipeline Rebuild | Technologies: python, sql, airflow, spark | Role: solo | Description: Built an Airflow pipeline that ingests daily sales CSVs, transforms them with PySpark, and loads them into a warehouse table. Wrote the SQL transformation logic myself and debugged a partition-skew issue that was causing one task to run 10x longer than the others. Added data-quality checks that fail the DAG if row counts drop unexpectedly. | Outcome: Cut pipeline runtime from 40 minutes to 9 minutes after fixing the skew.",1,"Adjacent to the data team (weekly spreadsheet exports, forwarding pipeline failure alerts, maintaining a reporting calendar) but the duties are coordination, not engineering. Alerts are forwarded rather than diagnosed; no SQL authoring, Airflow or Spark.",3,"Covers every required skill: an Airflow DAG ingesting daily CSVs, PySpark transformation, self-written SQL logic, plus data-quality checks that fail the DAG on unexpected row-count drops - matching all three JD responsibilities. Ownership shown by diagnosing partition skew and a measured 40-to-9-minute runtime improvement."
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-38fce774,typescript; react; css; next.js,BSc (Electronic Engineering),"11 months total, seniority level 2","[Content Assistant, 11 months] Updated marketing copy through the CMS. / Forwarded bug reports from users to the frontend team. / Maintained the style guide document.","Title: Budget Tracker App | Technologies: typescript, react, css, next.js | Role: solo | Description: Designed and built a personal finance tracker in React and TypeScript, including the component architecture and state management. Debugged a re-render performance issue on the transactions list and fixed it with memoisation. Wrote the CSS design system used across the app and deployed it via Next.js. | Outcome: Cut the transactions-page render time from 900ms to 120ms after the fix.",1,"Works alongside the frontend team but on CMS copy updates, forwarding user bug reports and maintaining a style-guide document. No component development and no TypeScript, React, CSS authoring or Next.js work.",3,"All four required skills in one project: React and TypeScript component architecture and state management, a self-written CSS design system, and Next.js deployment - matching all three responsibilities. Ownership shown by diagnosing a re-render bottleneck on the transactions list and fixing it with memoisation, with a measured 900ms to 120ms improvement."
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-bba68dab,aws; terraform; kubernetes; docker,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Kubernetes Cluster Setup | Technologies: kubernetes, docker | Role: (role not stated) | Description: Personal project. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Relevant tools (Kubernetes, Docker) but a single-line 'personal project' entry with no role, no scope and no outcome."
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-ea602c7c,python; opencv; pytorch; linux,BSc (Mathematics),"40 months total, seniority level 4","[Computer Vision Engineer, 40 months] Owned the vision pipeline from OpenCV preprocessing through PyTorch inference. / Improved detection accuracy in fog and low light after redesigning the augmentation strategy. / Debugged a domain-gap issue between synthetic training data and real camera footage that had been degrading field accuracy. / Deployed the pipeline to Linux edge devices and optimised it to run within the device's power budget.",(no projects listed),3,"40 months in the exact role: owned the vision pipeline from OpenCV preprocessing through PyTorch inference, improved fog and low-light accuracy by redesigning augmentation, closed a synthetic-to-real domain gap degrading field accuracy, and deployed to Linux edge devices within a power budget. All four required skills with ownership across every JD responsibility.",0,"No projects listed, so there is no project evidence to assess."
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-f8a02c37,aws; terraform; kubernetes; docker,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 8 months] Attended the infrastructure team's change-review meetings. / Kept the runbook wiki page formatting consistent. / Filed tickets for infrastructure requests on behalf of other teams.",(no projects listed),1,"Adjacent to the infrastructure team but entirely non-technical: change-review meeting attendance, runbook wiki formatting, and filing tickets on behalf of other teams. No provisioning or operational work.",0,"No projects listed, so there is no project evidence to assess."
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-25ac870c,python; linux; docker; aws,BSc (Computer Science),"0 months total, no professional seniority established",(no employment history),"Title: Password Strength Checker | Technologies: python | Role: solo | Description: Wrote a Python tool that checks password strength against common-password lists and entropy heuristics. | Outcome: (no stated outcome) || Title: Firewall Rule Auditor | Technologies: python, linux | Role: solo | Description: Built a script that parses Linux iptables rules and flags overly permissive entries. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Two self-built Python security tools, one parsing Linux iptables rules to flag overly permissive entries - genuinely on-topic for the configuration-review and Python-automation duties. Both are short scripts with no debugging detail or outcomes, and neither touches Docker or AWS."
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-92a05945,python; linux; docker; aws,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Log Anomaly Scanner | Technologies: python, linux, docker | Role: solo | Description: Designed and built a tool in Python that scans Linux auth logs for suspicious patterns and flags them. Debugged a false-positive issue caused by legitimate automated backup logins being flagged as brute-force attempts. Packaged it in Docker and ran it against a public sample log dataset. | Outcome: Correctly flagged 8 of 9 seeded attack patterns in a public benchmark log set, with 2 false positives out of 500 clean events.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",3,"Self-designed Python scanner for Linux auth logs, packaged in Docker and run against a public dataset - matching the Python-automation and Linux-review responsibilities. A diagnosed false-positive class (backup logins read as brute force) and quantified benchmark results (8 of 9 seeded attacks, 2 false positives in 500 clean events) show real ownership; only AWS is missing."
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-274312c9,python; fastapi; postgresql; docker,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 7 months] Attended sprint planning for the payments team. / Updated internal documentation for the transaction API. / Shadowed engineers during on-call handovers.",(no projects listed),1,"Sat inside the payments team but every listed duty is observational: sprint-planning attendance, documentation updates, shadowing on-call handovers. No hands-on Python, FastAPI, PostgreSQL or Docker work is evidenced.",0,"No projects listed, so there is no project evidence to assess."
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-a5e4ecc3,typescript; react; css; next.js,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Admin Dashboard | Technologies: vue, css | Role: solo | Description: Designed and built an internal admin dashboard in Vue with a custom CSS design system, including the routing and state management. Debugged a stale-data bug caused by an incorrect cache-invalidation rule. | Outcome: Dashboard adopted by two internal teams during a pilot.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Substantive frontend work - routing, state management, a custom CSS design system, a stale-data bug traced to an incorrect cache-invalidation rule, and pilot adoption by two internal teams - but built in Vue. Only CSS overlaps the required stack; React, TypeScript and Next.js are untested."
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-82154d3b,typescript; react; css; next.js,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: React Tutorial To-Do App | Technologies: react, typescript | Role: (role not stated) | Description: Followed the official React tutorial to build a basic to-do list app. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Official React tutorial followed to build a basic to-do app; correct stack, no independent design, debugging or outcome."
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-7e66961a,typescript; react; css; next.js,BSc (Software Engineering),"7 months total, seniority level 1","[Frontend Intern, 8 months] Implemented a reusable form-validation component in React and TypeScript, adopted across two pages. / Fixed a CSS layout bug causing the navigation bar to overlap content on narrow screens. / Wrote unit tests for a shared date-formatting utility.",(no projects listed),2,"Shipped a reusable React and TypeScript form-validation component adopted across two pages, fixed a responsive CSS layout bug where the nav bar overlapped content, and wrote unit tests for a shared utility. Three of four required skills on real merged code, but 8 months, narrow scope and no Next.js.",0,"No projects listed, so there is no project evidence to assess."
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-7aa49001,python; linux; docker; aws,BSc (Software Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Python Security Scanner | Technologies: python, linux | Role: (role not stated) | Description: Coursework project. | Outcome: (no stated outcome)",0,"No employment history recorded, so there is no professional evidence to assess against the role.",1,"Relevant tools (Python, Linux) and relevant title, but a bare coursework entry with no role, no description and no outcome."
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-dca0ee74,python; sql; airflow; spark,BSc (Statistics),"7 months total, seniority level 1","[Intern, 8 months] Attended the data team's weekly standup. / Maintained the data-dictionary spreadsheet. / Ran ad-hoc SQL queries for stakeholders on request.",(no projects listed),1,"Largely passive - standup attendance and data-dictionary spreadsheet upkeep - with ad-hoc SQL queries on request as the only technical task. No pipeline construction, Airflow or Spark work.",0,"No projects listed, so there is no project evidence to assess."
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-cbea5dc1,aws; terraform; kubernetes; docker,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Self-Hosted App Platform | Technologies: docker | Role: solo | Description: Designed and deployed a small self-hosted platform on a home server using Docker Swarm for orchestration, including service discovery and rolling updates. Debugged a service-restart loop caused by a misconfigured health check. | Outcome: Ran 6 services with zero-downtime updates during testing.",0,"No employment history recorded, so there is no professional evidence to assess against the role.",2,"Genuine orchestration work: Docker Swarm with service discovery and rolling updates, a service-restart loop traced to a misconfigured health check, six services running with zero-downtime updates in testing. Only Docker overlaps the required stack - no AWS, Terraform or Kubernetes evidence."
