candidate_blind_id,jd_id,employment_relevance,employment_evidence_note,employment_provenance,employment_status,employment_adjudication_note,project_relevance,project_evidence_note,project_provenance,project_status,project_adjudication_note,adjudicator,adjudicated_on
pb-1557f86e,jdp-007,1,"Security-adjacent administration: filing audit evidence, forwarding scanner alerts to the security team, and updating a policy document template. Alerts are routed rather than triaged; no configuration review, Python automation or hands-on Linux/Docker/AWS work.",A+B agree,agreed,,3,"Self-designed Python scanner for Linux auth logs, packaged in Docker and run against a public dataset - matching the Python-automation and Linux-review responsibilities. A diagnosed false-positive class (backup logins read as brute force) and quantified benchmark results (8 of 9 seeded attacks, 2 false positives in 500 clean events) show real ownership; only AWS is missing.",A+B agree,agreed,,,
pb-25ac870c,jdp-007,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Two self-built Python security tools, one parsing Linux iptables rules to flag overly permissive entries - genuinely on-topic for the configuration-review and Python-automation duties. Both are short scripts with no debugging detail or outcomes, and neither touches Docker or AWS.",A+B agree,agreed,,,
pb-3dafa86d,jdp-007,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Real security engineering with clear ownership - self-written packet-parsing and classification logic, a misclassification issue from fragmented packets debugged, 92% accuracy on a labelled capture - but written in Go. None of Python, Linux, Docker or AWS is evidenced, so the required stack is untested.",A+B agree,agreed,,,
pb-4a36179b,jdp-007,1,"Passive: completed security-awareness training modules, observed incident reviews, and updated a vulnerability-tracking spreadsheet. Sits next to the vulnerability-tracking duty but performs none of the technical work.","A=1, B=0; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §2 tier 1: domain/technology present but involvement is administrative/peripheral/observational -- the tier-1 examples ('attended reviews', 'updated documentation') match these bullets almost verbatim. Security domain present -- 'updated the vulnerability-tracking spreadsheet' touches a literal JD responsibility -- but involvement is training completion, observing, and spreadsheet upkeep.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-4c280c2a,jdp-007,1,"Security-adjacent administration: filing audit evidence, forwarding scanner alerts to the security team, and updating a policy document template. Alerts are routed rather than triaged; no configuration review, Python automation or hands-on Linux/Docker/AWS work.",A+B agree,agreed,,3,"Python tooling over Linux access logs with visualisation, run inside Docker, with anomaly rules the candidate designed and a debugged false-alarm issue traced to timezone mismatches between log sources. Clean measured result (3 of 3 seeded anomalies, zero false positives); AWS is the one required skill absent.",A+B agree,agreed,,,
pb-7aa49001,jdp-007,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Relevant tools (Python, Linux) and relevant title, but a bare coursework entry with no role, no description and no outcome.",A+B agree,agreed,,,
pb-7dac0883,jdp-007,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Followed an online tutorial to apply basic hardening to a personal server; relevant subject matter but no independent analysis, no role stated and no outcome.",A+B agree,agreed,,,
pb-8419e914,jdp-007,2,Direct professional experience performing the target role.,"A=2, B=3; prior adjudication sided with B (=3), SUPERSEDED by rubric precedence v1.1 -> 2 (agrees with pass A)",resolved_by_rubric_precedence_v1.1,"SUPERSEDED by rubric precedence ruling v1.1: §2's substantive tier governs §4's strength-signal shortcut; supervised/team-reviewed internship work with limited ownership scores 2. Prior reasoning retained below for provenance. PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Implementation (Python log-review automation adopted by the team), concrete debugging (false-positive spike from a misconfigured exclusion list), plus Docker base-image CVE review; covers all three JD responsibilities. Same §2/§4 tension noted.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-92a05945,jdp-007,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,3,"Self-designed Python scanner for Linux auth logs, packaged in Docker and run against a public dataset - matching the Python-automation and Linux-review responsibilities. A diagnosed false-positive class (backup logins read as brute force) and quantified benchmark results (8 of 9 seeded attacks, 2 false positives in 500 clean events) show real ownership; only AWS is missing.",A+B agree,agreed,,,
pb-e25fe0a8,jdp-007,3,"40 months in the exact role: owned the vulnerability-management programme, cut mean time to patch a critical finding from 30 days to 6 by automating remediation ticketing, led response to a real credential-stuffing incident, and hardened the Linux and AWS estate against red-team findings. Direct match on Linux/AWS review, automation and vulnerability tracking.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-30c45618,jdp-008,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Tutorial-following edge-detection script; correct library, but no role stated, no independent design and no outcome.",A+B agree,agreed,,,
pb-35d49229,jdp-008,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,2,"Two self-built projects covering OpenCV face detection and blurring plus a PyTorch CNN trained and evaluated on a public dataset - three of four required skills. Both are small, neither states an outcome or any debugging work, and there is no Linux deployment.",A+B agree,agreed,,,
pb-3668a2aa,jdp-008,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Substantive perception work with clear ownership - clustering logic designed by the candidate, a ground-plane false-positive issue debugged, 88% detection on a public benchmark - but written in C++ on lidar data. No Python, OpenCV, PyTorch or Linux evidence, so the required stack is untested.","A=1, B=0; was UNRESOLVED; resolved by rubric clarification v1.1 -> 1 (agrees with pass A)",resolved_by_rubric_clarification_v1.1,"RESOLVED by rubric clarification v1.1: adjacency requires >=1 shared required technology; this project shares none (cpp vs python/opencv/pytorch/linux), so it is scored on responsibility evidence alone and capped at 1. A",claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-6cacf0a0,jdp-008,2,Direct professional experience performing the target role.,"A=2, B=3; prior adjudication sided with B (=3), SUPERSEDED by rubric precedence v1.1 -> 2 (agrees with pass A)",resolved_by_rubric_precedence_v1.1,"SUPERSEDED by rubric precedence ruling v1.1: §2's substantive tier governs §4's strength-signal shortcut; supervised/team-reviewed internship work with limited ownership scores 2. Prior reasoning retained below for provenance. PROJECT_RUBRIC.md §4 strength-signal rule: >=2 distinct strength-signal categories + direct alignment to a specific JD responsibility -> 3. Implementation (OpenCV data-augmentation step adopted by the team), concrete debugging (bounding-box misalignment in annotation-to-training conversion), evaluation (identified a systematic low-light failure mode); matches 'build vision pipelines' and 'evaluate detection accuracy'. Same §2/§4 tension noted.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
pb-79b67617,jdp-008,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,1,"Right framework and right domain, but a one-line class assignment with no role, no description and no outcome.",A+B agree,agreed,,,
pb-d8497fb9,jdp-008,1,"Supports the perception team through image labelling, camera-rig operation and dataset file organisation. Domain-adjacent data work with no pipeline building, OpenCV/PyTorch use or Linux deployment.",A+B agree,agreed,,3,"OpenCV and PyTorch tooling running on Linux that tracks a deployed model's detection accuracy and flags regressions - sitting directly on the JD's detection-accuracy evaluation duty. Self-designed monitoring statistics, a debugged false positive caused by seasonal lighting change, and a 2-of-2 seeded-regression result.",A+B agree,agreed,,,
pb-ea602c7c,jdp-008,3,"40 months in the exact role: owned the vision pipeline from OpenCV preprocessing through PyTorch inference, improved fog and low-light accuracy by redesigning augmentation, closed a synthetic-to-real domain gap degrading field accuracy, and deployed to Linux edge devices within a power budget. All four required skills with ownership across every JD responsibility.",A+B agree,agreed,,0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,,
pb-eeb59fd4,jdp-008,0,"No employment history recorded, so there is no professional evidence to assess against the role.",A+B agree,agreed,,3,"Exercises all four required skills and all three responsibilities: PyTorch model trained with OpenCV preprocessing, inference deployed and throughput-benchmarked on Linux. Self-designed preprocessing pipeline and a diagnosed lighting-normalisation bug hurting accuracy on darker images, with a measured F1 improvement from 0.61 to 0.84.",A+B agree,agreed,,,
pb-f03297e1,jdp-008,1,"Supports the perception team through image labelling, camera-rig operation and dataset file organisation. Domain-adjacent data work with no pipeline building, OpenCV/PyTorch use or Linux deployment.",A+B agree,agreed,,3,"Exercises all four required skills and all three responsibilities: PyTorch model trained with OpenCV preprocessing, inference deployed and throughput-benchmarked on Linux. Self-designed preprocessing pipeline and a diagnosed lighting-normalisation bug hurting accuracy on darker images, with a measured F1 improvement from 0.61 to 0.84.",A+B agree,agreed,,,
pb-f9a88c17,jdp-008,1,"Meeting attendance, one batch of image labelling, and organising annotation-tooling documentation. No hands-on vision engineering.","A=1, B=0; adjudicated (sided with A)",adjudicated,"PROJECT_RUBRIC.md §2 tier 1: domain/technology present but involvement is administrative/peripheral/observational -- the tier-1 examples ('attended reviews', 'updated documentation') match these bullets almost verbatim. Vision domain present (perception model reviews, labelling training images, annotation-tooling docs) but involvement is peripheral data/admin work.",0,"No projects listed, so there is no project evidence to assess.",A+B agree,agreed,,claude-opus-5 (corpus author; see contamination caveat in report),2026-08-26
