jd_id,jd_title,jd_seniority,jd_required_skills,jd_preferred_skills,jd_experience_requirement,jd_education_requirement,jd_responsibilities,candidate_blind_id,candidate_skills,candidate_education,candidate_experience,candidate_employment_history,candidate_projects,employment_relevance,employment_evidence_note,project_relevance,project_evidence_note
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-d8497fb9,python; opencv; pytorch; linux,BSc (Mathematics),"11 months total, seniority level 2","[Data Labelling Assistant, 11 months] Labelled training images for the perception team. / Operated the camera rig during data-collection sessions. / Organised the labelled-dataset file structure.","Title: Detection Accuracy Monitor | Technologies: python, opencv, pytorch, linux | Role: solo | Description: Built a tool using OpenCV and PyTorch that tracks a deployed model's detection accuracy over time and flags regressions, running on Linux. Designed the statistical monitoring logic myself and debugged a false-positive issue caused by a seasonal lighting change. | Outcome: Correctly flagged 2 of 2 seeded accuracy regressions in a grading scenario.",,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-ab4f33f4,python; pytorch; fastapi; docker,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: PyTorch Tutorial Classifier | Technologies: python, pytorch | Role: (role not stated) | Description: Followed the official PyTorch tutorial to train an image classifier on a sample dataset. | Outcome: (no stated outcome)",,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-59306621,python; pytorch; fastapi; docker,BSc (Computer Science),"10 months total, seniority level 2","[Junior Data Assistant, 10 months] Labelled training images as part of a data-collection effort. / Forwarded model-monitoring alerts to the on-call engineer. / Updated the model documentation wiki.","Title: Image Tagging Service | Technologies: python, pytorch, fastapi, docker | Role: solo | Description: Trained a PyTorch classifier on a public image dataset and served it behind a FastAPI endpoint. Designed the inference batching logic myself and debugged a memory leak caused by not releasing GPU tensors between requests. Packaged the service with Docker and benchmarked latency under load. | Outcome: Reduced average inference latency from 800ms to 140ms after fixing the batching.",,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-51899643,aws; terraform; kubernetes; docker,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Terraform Getting Started | Technologies: aws, terraform | Role: (role not stated) | Description: Followed a Terraform tutorial to provision a single AWS EC2 instance. | Outcome: (no stated outcome)",,,,
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-eeb59fd4,python; opencv; pytorch; linux,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Defect Detection Prototype | Technologies: python, opencv, pytorch, linux | Role: solo | Description: Trained a PyTorch model using OpenCV preprocessing to detect surface defects in a public manufacturing image dataset. Designed the preprocessing pipeline myself and debugged a lighting-normalization bug that was hurting accuracy on darker images. Deployed the inference pipeline on a Linux machine and benchmarked its throughput. | Outcome: Improved detection F1 from 0.61 to 0.84 after fixing the normalization bug.",,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-79aa7cb9,python; sql; airflow; spark,BSc (Information Systems),"11 months total, seniority level 2","[Reporting Assistant, 11 months] Exported spreadsheets for the finance team each week. / Forwarded pipeline failure alerts to the on-call engineer. / Updated the reporting calendar.","Title: Sales Pipeline Rebuild | Technologies: python, sql, airflow, spark | Role: solo | Description: Built an Airflow pipeline that ingests daily sales CSVs, transforms them with PySpark, and loads them into a warehouse table. Wrote the SQL transformation logic myself and debugged a partition-skew issue that was causing one task to run 10x longer than the others. Added data-quality checks that fail the DAG if row counts drop unexpectedly. | Outcome: Cut pipeline runtime from 40 minutes to 9 minutes after fixing the skew.",,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-38fce774,typescript; react; css; next.js,BSc (Electronic Engineering),"11 months total, seniority level 2","[Content Assistant, 11 months] Updated marketing copy through the CMS. / Forwarded bug reports from users to the frontend team. / Maintained the style guide document.","Title: Budget Tracker App | Technologies: typescript, react, css, next.js | Role: solo | Description: Designed and built a personal finance tracker in React and TypeScript, including the component architecture and state management. Debugged a re-render performance issue on the transactions list and fixed it with memoisation. Wrote the CSS design system used across the app and deployed it via Next.js. | Outcome: Cut the transactions-page render time from 900ms to 120ms after the fix.",,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-bba68dab,aws; terraform; kubernetes; docker,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Kubernetes Cluster Setup | Technologies: kubernetes, docker | Role: (role not stated) | Description: Personal project. | Outcome: (no stated outcome)",,,,
jdp-008,Computer Vision Engineer,3,python; opencv; pytorch; linux,(none),24 months minimum,level 3 (required),Build vision pipelines using OpenCV and PyTorch. | Deploy models to Linux devices. | Evaluate detection accuracy.,pb-ea602c7c,python; opencv; pytorch; linux,BSc (Mathematics),"40 months total, seniority level 4","[Computer Vision Engineer, 40 months] Owned the vision pipeline from OpenCV preprocessing through PyTorch inference. / Improved detection accuracy in fog and low light after redesigning the augmentation strategy. / Debugged a domain-gap issue between synthetic training data and real camera footage that had been degrading field accuracy. / Deployed the pipeline to Linux edge devices and optimised it to run within the device's power budget.",(no projects listed),,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-f8a02c37,aws; terraform; kubernetes; docker,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 8 months] Attended the infrastructure team's change-review meetings. / Kept the runbook wiki page formatting consistent. / Filed tickets for infrastructure requests on behalf of other teams.",(no projects listed),,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-25ac870c,python; linux; docker; aws,BSc (Computer Science),"0 months total, no professional seniority established",(no employment history),"Title: Password Strength Checker | Technologies: python | Role: solo | Description: Wrote a Python tool that checks password strength against common-password lists and entropy heuristics. | Outcome: (no stated outcome) || Title: Firewall Rule Auditor | Technologies: python, linux | Role: solo | Description: Built a script that parses Linux iptables rules and flags overly permissive entries. | Outcome: (no stated outcome)",,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-92a05945,python; linux; docker; aws,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Log Anomaly Scanner | Technologies: python, linux, docker | Role: solo | Description: Designed and built a tool in Python that scans Linux auth logs for suspicious patterns and flags them. Debugged a false-positive issue caused by legitimate automated backup logins being flagged as brute-force attempts. Packaged it in Docker and ran it against a public sample log dataset. | Outcome: Correctly flagged 8 of 9 seeded attack patterns in a public benchmark log set, with 2 false positives out of 500 clean events.",,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-274312c9,python; fastapi; postgresql; docker,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 7 months] Attended sprint planning for the payments team. / Updated internal documentation for the transaction API. / Shadowed engineers during on-call handovers.",(no projects listed),,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-a5e4ecc3,typescript; react; css; next.js,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Admin Dashboard | Technologies: vue, css | Role: solo | Description: Designed and built an internal admin dashboard in Vue with a custom CSS design system, including the routing and state management. Debugged a stale-data bug caused by an incorrect cache-invalidation rule. | Outcome: Dashboard adopted by two internal teams during a pilot.",,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-82154d3b,typescript; react; css; next.js,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: React Tutorial To-Do App | Technologies: react, typescript | Role: (role not stated) | Description: Followed the official React tutorial to build a basic to-do list app. | Outcome: (no stated outcome)",,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-7e66961a,typescript; react; css; next.js,BSc (Software Engineering),"7 months total, seniority level 1","[Frontend Intern, 8 months] Implemented a reusable form-validation component in React and TypeScript, adopted across two pages. / Fixed a CSS layout bug causing the navigation bar to overlap content on narrow screens. / Wrote unit tests for a shared date-formatting utility.",(no projects listed),,,,
jdp-007,Security Engineer,3,python; linux; docker; aws,(none),24 months minimum,level 3 (required),Review Linux and Docker configurations for security issues. | Write Python automation for security tooling. | Support vulnerability tracking.,pb-7aa49001,python; linux; docker; aws,BSc (Software Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Python Security Scanner | Technologies: python, linux | Role: (role not stated) | Description: Coursework project. | Outcome: (no stated outcome)",,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-dca0ee74,python; sql; airflow; spark,BSc (Statistics),"7 months total, seniority level 1","[Intern, 8 months] Attended the data team's weekly standup. / Maintained the data-dictionary spreadsheet. / Ran ad-hoc SQL queries for stakeholders on request.",(no projects listed),,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-cbea5dc1,aws; terraform; kubernetes; docker,BSc (Electronic Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Self-Hosted App Platform | Technologies: docker | Role: solo | Description: Designed and deployed a small self-hosted platform on a home server using Docker Swarm for orchestration, including service discovery and rolling updates. Debugged a service-restart loop caused by a misconfigured health check. | Outcome: Ran 6 services with zero-downtime updates during testing.",,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-e7af1c40,kotlin; android; gradle; git,BSc (Software Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Android Basics To-Do App | Technologies: kotlin, android | Role: (role not stated) | Description: Followed the official Android tutorial to build a basic to-do list app in Kotlin. | Outcome: (no stated outcome)",,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-f908ceaa,python; pytorch; fastapi; docker,BSc (Statistics),"0 months total, no professional seniority established",(no employment history),"Title: Recommendation Engine | Technologies: python, scikit-learn | Role: solo | Description: Designed and built a collaborative-filtering recommender in scikit-learn, including the similarity computation and evaluation. Debugged a cold-start problem for new users and added a fallback popularity-based recommendation path. | Outcome: Improved offline precision@10 from 0.11 to 0.19 after the fallback.",,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-61053329,python; pytorch; fastapi; docker,BSc (Computer Science),"0 months total, no professional seniority established",(no employment history),"Title: Sentiment Classifier | Technologies: python, pytorch | Role: solo | Description: Trained a PyTorch text classifier on a public review dataset and evaluated it against a held-out test set. | Outcome: (no stated outcome) || Title: Model Serving Prototype | Technologies: fastapi, python | Role: solo | Description: Wrapped a trained model behind a FastAPI endpoint with input validation and basic error handling. | Outcome: (no stated outcome)",,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-4a223859,typescript; react; css; next.js,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: Budget Tracker App | Technologies: typescript, react, css, next.js | Role: solo | Description: Designed and built a personal finance tracker in React and TypeScript, including the component architecture and state management. Debugged a re-render performance issue on the transactions list and fixed it with memoisation. Wrote the CSS design system used across the app and deployed it via Next.js. | Outcome: Cut the transactions-page render time from 900ms to 120ms after the fix.",,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-2a5a14fd,python; fastapi; postgresql; docker,BSc (Mathematics),"0 months total, no professional seniority established",(no employment history),"Title: Docker Payments Microservice | Technologies: docker, postgresql | Role: (role not stated) | Description: A project for a university module. | Outcome: (no stated outcome)",,,,
jdp-002,Data Engineer,3,python; sql; airflow; spark,(none),24 months minimum,level 3 (required),Build data pipelines using Airflow and Spark. | Write SQL transformations for reporting. | Monitor pipeline reliability and data quality.,pb-a10b9b7b,python; sql; airflow; spark,BSc (Software Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Airflow Getting Started | Technologies: python, airflow | Role: (role not stated) | Description: Followed the official Airflow tutorial to set up a simple DAG with two tasks. | Outcome: (no stated outcome)",,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-874a5278,typescript; react; css; next.js,BSc (Software Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Next.js Portfolio Site | Technologies: next.js, css | Role: (role not stated) | Description: Personal website. | Outcome: (no stated outcome)",,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-cd03a930,aws; terraform; kubernetes; docker,BSc (Physics),"7 months total, seniority level 1","[Infrastructure Intern, 8 months] Wrote a Terraform module for provisioning a standard S3 bucket configuration, adopted by the team. / Debugged a Kubernetes pod crash loop caused by a missing resource limit. / Containerised an internal tool with Docker as part of an onboarding project.",(no projects listed),,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-116b4f53,python; pytorch; fastapi; docker,BSc (Computer Science),"7 months total, seniority level 1","[ML Engineering Intern, 8 months] Implemented a data-augmentation step for the training pipeline that improved validation accuracy by 4 points. / Debugged a class-imbalance issue causing the model to under-predict a rare category. / Wrote the FastAPI endpoint used to serve the intern project's model for a demo.",(no projects listed),,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-bd38aad2,python; fastapi; postgresql; docker,BSc (Software Engineering),"0 months total, no professional seniority established",(no employment history),"Title: Payments API Tutorial Project | Technologies: python, fastapi, postgresql | Role: (role not stated) | Description: Followed an online course to build a basic FastAPI app with a PostgreSQL database. | Outcome: (no stated outcome)",,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-cd1a7447,python; fastapi; postgresql; docker,BSc (Physics),"40 months total, seniority level 4","[Backend Engineer, 40 months] Owned the transaction-processing API and its PostgreSQL schema. / Reduced payment API p99 latency from 900ms to 220ms by fixing an N+1 query pattern. / Led the incident response for a production outage caused by a connection-pool exhaustion, and shipped the fix. / Containerised the service with Docker as part of the team's deployment migration.",(no projects listed),,,,
jdp-006,Android Engineer,3,kotlin; android; gradle; git,(none),24 months minimum,level 3 (required),Build Android features in Kotlin. | Maintain the Gradle build. | Fix defects and improve app stability.,pb-08df8a00,kotlin; android; gradle; git,BSc (Statistics),"11 months total, seniority level 2","[App Store Assistant, 11 months] Updated app store listing screenshots and copy. / Coordinated beta-tester recruitment. / Forwarded crash reports to the Android team.","Title: Build Health Dashboard | Technologies: kotlin, android, gradle | Role: solo | Description: Built an Android app in Kotlin that parses Gradle build logs and displays failure trends, with a custom notification system for regressions. Designed the parsing logic myself and debugged a false-alarm issue caused by flaky test retries being counted as failures. | Outcome: Correctly surfaced 4 of 5 seeded build regressions in a grading scenario.",,,,
jdp-005,Frontend Engineer,3,typescript; react; css; next.js,(none),24 months minimum,level 3 (required),Build UI components in React and TypeScript. | Write CSS to a shared design standard. | Support the Next.js application build.,pb-34165248,typescript; react; css; next.js,BSc (Physics),"7 months total, seniority level 1","[Intern, 8 months] Attended design review meetings. / Updated the component library's changelog. / Tested pages manually against a QA checklist.",(no projects listed),,,,
jdp-003,ML Engineer,3,python; pytorch; fastapi; docker,(none),24 months minimum,level 3 (required),Train and evaluate PyTorch models. | Serve models behind FastAPI endpoints. | Package services with Docker for deployment.,pb-7dc7c774,python; pytorch; fastapi; docker,BSc (Software Engineering),"7 months total, seniority level 1","[Intern, 8 months] Attended model review meetings as an observer. / Organised the team's experiment-tracking spreadsheet. / Ran pre-written evaluation scripts and reported the numbers.",(no projects listed),,,,
jdp-004,Cloud Infrastructure Engineer,3,aws; terraform; kubernetes; docker,(none),24 months minimum,level 3 (required),Provision AWS infrastructure using Terraform. | Operate Kubernetes workloads. | Support Docker-based deployments.,pb-05fa20d2,aws; terraform; kubernetes; docker,BSc (Software Engineering),"12 months total, seniority level 2","[IT Support Assistant, 12 months] Reset AWS console passwords for staff. / Maintained the asset inventory spreadsheet. / Escalated infrastructure tickets to the platform team.","Title: Cost Anomaly Detector | Technologies: aws, terraform, kubernetes | Role: solo | Description: Built a tool using Terraform-provisioned AWS resources that scans billing data and flags cost anomalies. Designed the anomaly-detection logic myself and debugged a false-alarm issue caused by a monthly billing-cycle boundary. Ran the detector inside a Kubernetes CronJob. | Outcome: Caught a seeded $200/day cost spike within one run in a grading scenario.",,,,
jdp-001,"Backend Engineer, Payments",3,python; fastapi; postgresql; docker,(none),24 months minimum,level 3 (required),Build and maintain payment processing APIs. | Work with PostgreSQL to model transaction data. | Support deployment of backend services via Docker.,pb-21380e31,python; fastapi; postgresql; docker,BSc (Physics),"0 months total, no professional seniority established",(no employment history),"Title: Order Processing Service | Technologies: go, mysql, docker | Role: solo | Description: Designed and built an order-processing API in Go backed by MySQL, including the schema and the transaction-matching logic. Debugged a race condition in concurrent order updates and fixed it with row-level locking. Deployed it in a container. | Outcome: Handled 500 concurrent orders correctly in load testing.",,,,
